"geneSym","Arntl","Clock","Npas2","Cry1","Nr1d1","Ciart","Dbp","Per1","Cry2","Per2"
"Arntl",1,0.886363636363636,0.850475189618036,0.135171576868986,-0.49009324009324,-0.831703572592054,-0.896853146853147,-0.754662004662005,-0.634032634032634,-0.743006993006993
"Clock",0.886363636363636,1,0.80791498906748,0.0547509749752077,-0.367132867132867,-0.708430884119246,-0.804778554778555,-0.706876456876457,-0.624708624708625,-0.713869463869464
"Npas2",0.850475189618036,0.80791498906748,1,-0.0464619737115154,-0.302385498113637,-0.760008141444531,-0.789304764964789,-0.694316419976444,-0.637419073907914,-0.748757122387613
"Cry1",0.135171576868986,0.0547509749752077,-0.0464619737115154,1,-0.688291769628717,-0.168164912828564,-0.315279301484244,-0.118004439321498,0.123457319710488,0.370962115625767
"Nr1d1",-0.49009324009324,-0.367132867132867,-0.302385498113637,-0.688291769628717,1,0.539100470125181,0.67016317016317,0.475524475524476,0.195221445221445,-0.00291375291375291
"Ciart",-0.831703572592054,-0.708430884119246,-0.760008141444531,-0.168164912828564,0.539100470125181,1,0.863743618427158,0.796399663785435,0.652468441639625,0.67925556043639
"Dbp",-0.896853146853147,-0.804778554778555,-0.789304764964789,-0.315279301484244,0.67016317016317,0.863743618427158,1,0.80944055944056,0.627622377622378,0.607808857808858
"Per1",-0.754662004662005,-0.706876456876457,-0.694316419976444,-0.118004439321498,0.475524475524476,0.796399663785435,0.80944055944056,1,0.633449883449884,0.673076923076923
"Cry2",-0.634032634032634,-0.624708624708625,-0.637419073907914,0.123457319710488,0.195221445221445,0.652468441639625,0.627622377622378,0.633449883449884,1,0.726689976689977
"Per2",-0.743006993006993,-0.713869463869464,-0.748757122387613,0.370962115625767,-0.00291375291375291,0.67925556043639,0.607808857808858,0.673076923076923,0.726689976689977,1
